Run_number: 3761 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 3762 | Ap_exp: 0.222222 | errAexp: 0.229809
Run_number: 3763 | Ap_exp: 0.333333 | errAexp: 0.205738
Run_number: 3764 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 3765 | Ap_exp: -0.12 | errAexp: 0.198555
Run_number: 3766 | Ap_exp: 0 | errAexp: 0.223607
Run_number: 3767 | Ap_exp: -0.181818 | errAexp: 0.209647
Run_number: 3782 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 3783 | Ap_exp: -1 | errAexp: 0
Run_number: 3784 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 3786 | Ap_exp: -1 | errAexp: 0
Run_number: 3787 | Ap_exp: -nan | errAexp: -nan
Run_number: 3788 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 3789 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 3790 | Ap_exp: 0 | errAexp: 0.5
Run_number: 3791 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 3792 | Ap_exp: 0 | errAexp: 0.5
Run_number: 3795 | Ap_exp: -1 | errAexp: 0
Run_number: 3796 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 3810 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 3811 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 3812 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 3813 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 3815 | Ap_exp: -1 | errAexp: 0
Run_number: 3822 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 3823 | Ap_exp: 0.6 | errAexp: 0.252982
Run_number: 3824 | Ap_exp: 0.125 | errAexp: 0.248039
Run_number: 3825 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 3826 | Ap_exp: -0.578947 | errAexp: 0.187058
Run_number: 3827 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 3828 | Ap_exp: 0.333333 | errAexp: 0.222222
Run_number: 3829 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3830 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 3832 | Ap_exp: 0.263158 | errAexp: 0.221329
Run_number: 3833 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3835 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 3836 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 3837 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 3838 | Ap_exp: 0.125 | errAexp: 0.248039
Run_number: 3839 | Ap_exp: -0.285714 | errAexp: 0.25612
Run_number: 3840 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 3841 | Ap_exp: 0.2 | errAexp: 0.309839
Run_number: 3842 | Ap_exp: 0.333333 | errAexp: 0.222222
Run_number: 3843 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 3844 | Ap_exp: -0.166667 | errAexp: 0.284638
Run_number: 3846 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 3847 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 3848 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 3849 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3850 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 3851 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 3852 | Ap_exp: -0.454545 | errAexp: 0.268563
