Run_number: 2236 | Aexp: 0.0438413 | errAexp: 0.0228236 | pol_He3: 41.2438 | pol_beam: 84.089
Run_number: 2237 | Aexp: 0.0342604 | errAexp: 0.0200646 | pol_He3: 38.4588 | pol_beam: 84.089
Run_number: 2238 | Aexp: 0.113208 | errAexp: 0.0249173 | pol_He3: 35.8529 | pol_beam: 84.089
Run_number: 2239 | Aexp: 0.0481616 | errAexp: 0.0227303 | pol_He3: 36.5771 | pol_beam: 84.089
Run_number: 2240 | Aexp: 0.0430697 | errAexp: 0.0279577 | pol_He3: 37.299 | pol_beam: 84.089
Run_number: 2241 | Aexp: 0.015124 | errAexp: 0.0245931 | pol_He3: 38.7765 | pol_beam: 84.089
Run_number: 2242 | Aexp: 0.0652041 | errAexp: 0.0246332 | pol_He3: 40.2541 | pol_beam: 84.089
Run_number: 2243 | Aexp: 0.029661 | errAexp: 0.0460085 | pol_He3: 41.4022 | pol_beam: 84.089
Run_number: 2244 | Aexp: 0.0665939 | errAexp: 0.0233116 | pol_He3: 41.8314 | pol_beam: 84.089
Run_number: 2245 | Aexp: 0.0322581 | errAexp: 0.028035 | pol_He3: 42.2606 | pol_beam: 84.089
Run_number: 2246 | Aexp: 0.0227692 | errAexp: 0.0248005 | pol_He3: 42.5625 | pol_beam: 84.089
Run_number: 2247 | Aexp: 0.0973451 | errAexp: 0.0662031 | pol_He3: 40.9805 | pol_beam: 84.089
Run_number: 2248 | Aexp: 0.0207792 | errAexp: 0.0360297 | pol_He3: 38.0032 | pol_beam: 84.089
Run_number: 2250 | Aexp: 0.0432802 | errAexp: 0.0275296 | pol_He3: 37.0493 | pol_beam: 84.089
Run_number: 2251 | Aexp: -0.0847458 | errAexp: 0.129721 | pol_He3: 36.8307 | pol_beam: 84.089
Run_number: 2252 | Aexp: 0.0465347 | errAexp: 0.0222256 | pol_He3: 35.3799 | pol_beam: 84.089
Run_number: 2253 | Aexp: 0.0336283 | errAexp: 0.0242756 | pol_He3: 37.8216 | pol_beam: 84.089
Run_number: 2254 | Aexp: 0.00768776 | errAexp: 0.0243173 | pol_He3: 39.9546 | pol_beam: 84.089
Run_number: 2255 | Aexp: 0.0327533 | errAexp: 0.0226102 | pol_He3: 42.1467 | pol_beam: 84.089
Run_number: 2256 | Aexp: 0.0310749 | errAexp: 0.0225595 | pol_He3: 41.4725 | pol_beam: 84.089
Run_number: 2257 | Aexp: -0.0122549 | errAexp: 0.0247518 | pol_He3: 39.0447 | pol_beam: 84.089
Run_number: 2258 | Aexp: 0.00986193 | errAexp: 0.0222047 | pol_He3: 39.6908 | pol_beam: 84.089
Run_number: 2259 | Aexp: 0.0210084 | errAexp: 0.0229124 | pol_He3: 40.3067 | pol_beam: 84.089
Run_number: 2260 | Aexp: -0.00775194 | errAexp: 0.0393738 | pol_He3: 45.5495 | pol_beam: 84.089
Run_number: 2275 | Aexp: 0.0687831 | errAexp: 0.0513126 | pol_He3: 44.7388 | pol_beam: 84.089
Run_number: 2276 | Aexp: 0.0251762 | errAexp: 0.031724 | pol_He3: 22.3324 | pol_beam: 84.089
Run_number: 2302 | Aexp: -0.0568182 | errAexp: 0.0752561 | pol_He3: 26.2109 | pol_beam: 84.089
Run_number: 2303 | Aexp: 0.0135699 | errAexp: 0.0228435 | pol_He3: 28.8274 | pol_beam: 84.089
Run_number: 2304 | Aexp: 0.0558464 | errAexp: 0.0208552 | pol_He3: 33.3858 | pol_beam: 84.089
Run_number: 2305 | Aexp: 0.0868563 | errAexp: 0.0276196 | pol_He3: 25.9977 | pol_beam: 84.089
Run_number: 2306 | Aexp: -0.0705596 | errAexp: 0.0492034 | pol_He3: 23.9777 | pol_beam: 84.089
Run_number: 2307 | Aexp: 0.0694811 | errAexp: 0.0295848 | pol_He3: 27.7632 | pol_beam: 84.089
Run_number: 2309 | Aexp: 0.00693481 | errAexp: 0.0263334 | pol_He3: 29.8347 | pol_beam: 84.089
Run_number: 2310 | Aexp: 0.0446927 | errAexp: 0.0527988 | pol_He3: 27.975 | pol_beam: 84.089
Run_number: 2313 | Aexp: 0.0642709 | errAexp: 0.0262341 | pol_He3: 29.6555 | pol_beam: 84.089
Run_number: 2314 | Aexp: 0.0274725 | errAexp: 0.0261972 | pol_He3: 31.2142 | pol_beam: 84.089
Run_number: 2316 | Aexp: 0.0827215 | errAexp: 0.0220483 | pol_He3: 33.6704 | pol_beam: 84.089
Run_number: 2318 | Aexp: 0.0160772 | errAexp: 0.0214296 | pol_He3: 34.1595 | pol_beam: 84.089
Run_number: 2319 | Aexp: 0.0268595 | errAexp: 0.0227191 | pol_He3: 34.872 | pol_beam: 84.089
Run_number: 2320 | Aexp: 0.0392749 | errAexp: 0.0549226 | pol_He3: 35.2182 | pol_beam: 84.089
Run_number: 2321 | Aexp: 0.0176292 | errAexp: 0.0246519 | pol_He3: 35.7335 | pol_beam: 84.089
Run_number: 2322 | Aexp: -0.00617284 | errAexp: 0.0248447 | pol_He3: 36.2004 | pol_beam: 84.089
