Run_number: 2236 | Aexp: 0.0469799 | errAexp: 0.0272776 | pol_He3: 41.2438 | pol_beam: 84.089
Run_number: 2237 | Aexp: 0.0134111 | errAexp: 0.0241451 | pol_He3: 38.4588 | pol_beam: 84.089
Run_number: 2238 | Aexp: 0.111517 | errAexp: 0.0300451 | pol_He3: 35.8529 | pol_beam: 84.089
Run_number: 2239 | Aexp: 0.0443276 | errAexp: 0.0273832 | pol_He3: 36.5771 | pol_beam: 84.089
Run_number: 2240 | Aexp: 0.0491071 | errAexp: 0.0333673 | pol_He3: 37.299 | pol_beam: 84.089
Run_number: 2241 | Aexp: 0.0309654 | errAexp: 0.0301641 | pol_He3: 38.7765 | pol_beam: 84.089
Run_number: 2242 | Aexp: 0.0570676 | errAexp: 0.0295822 | pol_He3: 40.2541 | pol_beam: 84.089
Run_number: 2243 | Aexp: -0.00302115 | errAexp: 0.0549647 | pol_He3: 41.4022 | pol_beam: 84.089
Run_number: 2244 | Aexp: 0.0501567 | errAexp: 0.0279594 | pol_He3: 41.8314 | pol_beam: 84.089
Run_number: 2245 | Aexp: 0.0556845 | errAexp: 0.0340073 | pol_He3: 42.2606 | pol_beam: 84.089
Run_number: 2246 | Aexp: 0.0759259 | errAexp: 0.0303412 | pol_He3: 42.5625 | pol_beam: 84.089
Run_number: 2247 | Aexp: 0.0872483 | errAexp: 0.0816108 | pol_He3: 40.9805 | pol_beam: 84.089
Run_number: 2248 | Aexp: 0.0393996 | errAexp: 0.0432812 | pol_He3: 38.0032 | pol_beam: 84.089
Run_number: 2250 | Aexp: 0.0113379 | errAexp: 0.0336696 | pol_He3: 37.0493 | pol_beam: 84.089
Run_number: 2251 | Aexp: -0.05 | errAexp: 0.157916 | pol_He3: 36.8307 | pol_beam: 84.089
Run_number: 2252 | Aexp: 0.054755 | errAexp: 0.0268011 | pol_He3: 35.3799 | pol_beam: 84.089
Run_number: 2253 | Aexp: 0.00947459 | errAexp: 0.029347 | pol_He3: 37.8216 | pol_beam: 84.089
Run_number: 2254 | Aexp: 0.0338836 | errAexp: 0.0294587 | pol_He3: 39.9546 | pol_beam: 84.089
Run_number: 2255 | Aexp: 0.038014 | errAexp: 0.027833 | pol_He3: 42.1467 | pol_beam: 84.089
Run_number: 2256 | Aexp: 0.00613497 | errAexp: 0.0276919 | pol_He3: 41.4725 | pol_beam: 84.089
Run_number: 2257 | Aexp: -0.0127505 | errAexp: 0.0301761 | pol_He3: 39.0447 | pol_beam: 84.089
Run_number: 2258 | Aexp: 0.0427227 | errAexp: 0.0268848 | pol_He3: 39.6908 | pol_beam: 84.089
Run_number: 2259 | Aexp: 0.0471042 | errAexp: 0.0277577 | pol_He3: 40.3067 | pol_beam: 84.089
Run_number: 2260 | Aexp: -0.00465116 | errAexp: 0.0482238 | pol_He3: 45.5495 | pol_beam: 84.089
Run_number: 2275 | Aexp: 0.119048 | errAexp: 0.0625461 | pol_He3: 44.7388 | pol_beam: 84.089
Run_number: 2276 | Aexp: 0.0151057 | errAexp: 0.0388617 | pol_He3: 22.3324 | pol_beam: 84.089
Run_number: 2302 | Aexp: -0.276596 | errAexp: 0.0991182 | pol_He3: 26.2109 | pol_beam: 84.089
Run_number: 2303 | Aexp: 0.0410959 | errAexp: 0.0275636 | pol_He3: 28.8274 | pol_beam: 84.089
Run_number: 2304 | Aexp: 0.0518331 | errAexp: 0.025108 | pol_He3: 33.3858 | pol_beam: 84.089
Run_number: 2305 | Aexp: 0.0853392 | errAexp: 0.0329564 | pol_He3: 25.9977 | pol_beam: 84.089
Run_number: 2306 | Aexp: -0.105455 | errAexp: 0.059966 | pol_He3: 23.9777 | pol_beam: 84.089
Run_number: 2307 | Aexp: 0.0547945 | errAexp: 0.0369561 | pol_He3: 27.7632 | pol_beam: 84.089
Run_number: 2309 | Aexp: 0.0483042 | errAexp: 0.0320211 | pol_He3: 29.8347 | pol_beam: 84.089
Run_number: 2310 | Aexp: 0.00392157 | errAexp: 0.0626219 | pol_He3: 27.975 | pol_beam: 84.089
Run_number: 2313 | Aexp: 0.0484669 | errAexp: 0.0314133 | pol_He3: 29.6555 | pol_beam: 84.089
Run_number: 2314 | Aexp: 0.0248756 | errAexp: 0.0315343 | pol_He3: 32.9888 | pol_beam: 84.089
Run_number: 2316 | Aexp: 0.0645161 | errAexp: 0.0270201 | pol_He3: 33.6704 | pol_beam: 84.089
Run_number: 2318 | Aexp: 0.00206754 | errAexp: 0.0262522 | pol_He3: 34.1595 | pol_beam: 84.089
Run_number: 2319 | Aexp: 0.0417311 | errAexp: 0.027775 | pol_He3: 34.872 | pol_beam: 84.089
Run_number: 2320 | Aexp: 0.0316742 | errAexp: 0.0672335 | pol_He3: 35.2182 | pol_beam: 84.089
Run_number: 2321 | Aexp: 0.0116383 | errAexp: 0.0299188 | pol_He3: 35.7335 | pol_beam: 84.089
Run_number: 2322 | Aexp: -0.0125899 | errAexp: 0.0299856 | pol_He3: 36.2004 | pol_beam: 84.089
