dx_bin_center, Proton asymmetry, Error
-3.95,-1.36986,11.703
-3.85,6.45161,12.6736
-3.75,5.88235,9.88433
-3.65,1.63934,9.05236
-3.55,-1.93548,8.03069
-3.45,-1.86916,6.83467
-3.35,-19.3548,5.57222
-3.25,-2.04082,5.04971
-3.15,0.34965,4.18118
-3.05,0.882353,3.83468
-2.95,-2.37467,3.63114
-2.85,7.97024,3.24954
-2.75,2.20518,3.09565
-2.65,-0.802855,2.98664
-2.55,-2.8463,3.07896
-2.45,-1.69811,3.07103
-2.35,5.15021,3.27126
-2.25,-1.84049,3.50225
-2.15,3.19635,3.89938
-2.05,-4.99002,4.4621
-1.95,-4.74041,4.7458
-1.85,-3.78007,5.85791
-1.75,4.34783,6.58757
-1.65,8.43373,7.73385
-1.55,11.9266,9.5099
-1.45,-6.12245,10.0826
-1.35,-1.36986,11.703
-1.25,-4.16667,14.4212
-1.15,29.4118,16.3913
-1.05,-7.69231,19.5535
-0.95,39.1304,19.1888
-0.85,-42.8571,17.0747
-0.75,42.8571,24.1473
-0.65,-27.2727,29.0081
-0.55,33.3333,27.2166
-0.45,33.3333,27.2166
-0.35,40,28.9828
-0.25,-42.8571,24.1473
-0.15,20,30.9839
-0.05,42.8571,24.1473
0.05,14.2857,37.4088
0.15,9.09091,30.0263
0.25,33.3333,31.427
0.35,-14.2857,37.4088
0.45,14.2857,37.4088
0.55,100,0
0.65,100,0
0.75,33.3333,54.4331
0.85,33.3333,54.4331
0.95,-50,43.3013
1.05,-100,0
1.15,-100,0
1.25,0,70.7107
1.35,0,0
1.45,-33.3333,54.4331
1.55,0,70.7107
1.65,0,70.7107
1.75,0,0
1.85,-100,0
1.95,100,0
2.05,0,0
2.15,0,70.7107
2.25,0,0
2.35,100,0
2.45,0,0
2.55,-100,0
2.65,0,0
2.75,0,0
2.85,0,0
2.95,0,0
3.05,0,0
3.15,0,0
3.25,0,0
3.35,0,0
3.45,0,0
3.55,0,0
3.65,0,0
3.75,0,0
3.85,0,0
3.95,0,0
4.05,0,0
