cointime_bin_low_edge, Asymmetry, Error
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-100,0
0,-50,30.6186
0,-22.2222,22.9809
0,21.4286,18.4592
0,-13.0435,14.6182
0,20,11.7108
0,-15.5556,10.4126
0,5.88235,9.15111
0,9.09091,9.05327
0,-14.4654,7.8471
0,2.40964,7.75925
0,1.75439,7.64601
0,2.6178,7.23327
0,6.91244,6.7722
0,2.67857,6.67913
0,-4.13223,6.42275
0,2.85714,6.89784
0,6.41509,6.1303
0,6.30851,2.01341
0,1.44817,1.12697
0,-1.13636,4.35166
0,-11.1969,6.17462
0,5.66038,6.85702
0,-3.38164,6.94651
0,4.34783,6.58757
0,8.22511,6.55722
0,-0.465116,6.81987
0,2.65487,6.64956
0,-2.53807,7.12241
0,-2.0202,7.10524
0,10.7843,6.96057
0,0,7.41249
0,2.35294,7.66753
0,-7.46269,8.6146
0,-7.48299,8.22474
0,-9.77444,8.62958
0,-16.6667,9.00103
0,-10.9091,9.47772
0,18.5841,9.24333
0,-18.8679,9.5384
0,3.44828,10.7147
0,1.36986,11.703
0,0,14.4338
0,-7.69231,19.5535
0,13.0435,20.6733
0,17.6471,23.8729
