Run_number: 2628 | Ap_exp: 1 | errAexp: 0
Run_number: 2971 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 2973 | Ap_exp: -0.015873 | errAexp: 0.125972
Run_number: 2974 | Ap_exp: 0.038961 | errAexp: 0.113874
Run_number: 2976 | Ap_exp: -0.047619 | errAexp: 0.21797
Run_number: 2981 | Ap_exp: -0.666667 | errAexp: 0.215166
Run_number: 2983 | Ap_exp: -0.0679012 | errAexp: 0.0554273
Run_number: 2984 | Ap_exp: -0.0147783 | errAexp: 0.0701786
Run_number: 2985 | Ap_exp: 0.0447761 | errAexp: 0.0704638
Run_number: 2986 | Ap_exp: -0.037037 | errAexp: 0.135989
Run_number: 2988 | Ap_exp: 0.135135 | errAexp: 0.162891
Run_number: 2989 | Ap_exp: 0.0208333 | errAexp: 0.0721531
Run_number: 2990 | Ap_exp: 0.0877193 | errAexp: 0.131943
Run_number: 2995 | Ap_exp: 0.0105263 | errAexp: 0.0725436
Run_number: 2996 | Ap_exp: -0.0434783 | errAexp: 0.208317
Run_number: 2997 | Ap_exp: -0.0608696 | errAexp: 0.0930776
Run_number: 2998 | Ap_exp: -0.06 | errAexp: 0.0705833
Run_number: 2999 | Ap_exp: 0.0322581 | errAexp: 0.0678491
Run_number: 3000 | Ap_exp: 0 | errAexp: 0.107833
Run_number: 3001 | Ap_exp: 0.0645161 | errAexp: 0.126736
Run_number: 3003 | Ap_exp: -0.0461538 | errAexp: 0.123903
Run_number: 3004 | Ap_exp: 0.12069 | errAexp: 0.0651733
Run_number: 3005 | Ap_exp: 0.0847458 | errAexp: 0.0748942
Run_number: 3006 | Ap_exp: -0.0512821 | errAexp: 0.113079
Run_number: 3007 | Ap_exp: -0.0176991 | errAexp: 0.0665086
Run_number: 3008 | Ap_exp: -0.0566038 | errAexp: 0.0969729
Run_number: 3009 | Ap_exp: 0.029703 | errAexp: 0.0994598
Run_number: 3011 | Ap_exp: -0.0839695 | errAexp: 0.0870618
Run_number: 3013 | Ap_exp: -0.025 | errAexp: 0.111768
Run_number: 3014 | Ap_exp: 0.132743 | errAexp: 0.0932396
Run_number: 3016 | Ap_exp: 0.0408163 | errAexp: 0.100931
Run_number: 3017 | Ap_exp: -0.207547 | errAexp: 0.13437
Run_number: 3018 | Ap_exp: 0.267606 | errAexp: 0.11435
Run_number: 3019 | Ap_exp: 0.129032 | errAexp: 0.125938
Run_number: 3020 | Ap_exp: -0.0804598 | errAexp: 0.106864
Run_number: 3021 | Ap_exp: -0.11828 | errAexp: 0.102967
Run_number: 3022 | Ap_exp: 0.0833333 | errAexp: 0.203414
Run_number: 3024 | Ap_exp: -0.277778 | errAexp: 0.113213
Run_number: 3025 | Ap_exp: -0.0731707 | errAexp: 0.110136
Run_number: 3026 | Ap_exp: -0.104167 | errAexp: 0.101507
Run_number: 3027 | Ap_exp: -0.0208333 | errAexp: 0.0721531
Run_number: 3028 | Ap_exp: 0.0695187 | errAexp: 0.0729503
Run_number: 3029 | Ap_exp: -0.0823529 | errAexp: 0.108097
Run_number: 3030 | Ap_exp: -0.0869565 | errAexp: 0.0734417
Run_number: 3035 | Ap_exp: -0.208889 | errAexp: 0.065196
Run_number: 3036 | Ap_exp: -0.0463576 | errAexp: 0.0812914
Run_number: 3037 | Ap_exp: 0.2 | errAexp: 0.146059
Run_number: 3038 | Ap_exp: 0.0569106 | errAexp: 0.0636543
Run_number: 3039 | Ap_exp: -0.0126582 | errAexp: 0.1125
Run_number: 3043 | Ap_exp: -0.0826446 | errAexp: 0.0640625
Run_number: 3045 | Ap_exp: 0.0238095 | errAexp: 0.0629762
Run_number: 3046 | Ap_exp: -0.0707071 | errAexp: 0.100252
Run_number: 3047 | Ap_exp: -0.166667 | errAexp: 0.164336
Run_number: 3048 | Ap_exp: 0.0140845 | errAexp: 0.0593332
Run_number: 3049 | Ap_exp: -0.0041841 | errAexp: 0.0646841
Run_number: 3050 | Ap_exp: -0.0147059 | errAexp: 0.0606273
Run_number: 3051 | Ap_exp: 0.175439 | errAexp: 0.0651995
Run_number: 3052 | Ap_exp: 0.0169492 | errAexp: 0.0920442
Run_number: 3054 | Ap_exp: 0.0638298 | errAexp: 0.102932
Run_number: 3055 | Ap_exp: -0.181818 | errAexp: 0.12104
Run_number: 3058 | Ap_exp: -0.0921986 | errAexp: 0.0838565
Run_number: 3059 | Ap_exp: 0.0810811 | errAexp: 0.0946033
Run_number: 3061 | Ap_exp: -0.02 | errAexp: 0.09998
Run_number: 3062 | Ap_exp: 0.0464396 | errAexp: 0.0555815
Run_number: 3063 | Ap_exp: 0.031477 | errAexp: 0.0491824
Run_number: 3064 | Ap_exp: 0.00729927 | errAexp: 0.0854335
Run_number: 3065 | Ap_exp: 0.0679612 | errAexp: 0.0983051
Run_number: 3068 | Ap_exp: -0.037037 | errAexp: 0.0860072
