Run_number: 5317 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 5318 Nplus : 15 Nminus : 21 | Aexp: -0.166667 | errAexp: 0.164336
Run_number: 5320 Nplus : 13 Nminus : 10 | Aexp: 0.130435 | errAexp: 0.206733
Run_number: 5321 Nplus : 9 Nminus : 7 | Aexp: 0.125 | errAexp: 0.248039
Run_number: 5322 Nplus : 10 Nminus : 8 | Aexp: 0.111111 | errAexp: 0.234243
Run_number: 5323 Nplus : 13 Nminus : 12 | Aexp: 0.04 | errAexp: 0.19984
Run_number: 5324 Nplus : 20 Nminus : 15 | Aexp: 0.142857 | errAexp: 0.167297
Run_number: 5364 Nplus : 4 Nminus : 3 | Aexp: 0.142857 | errAexp: 0.374088
Run_number: 5378 Nplus : 8 Nminus : 9 | Aexp: -0.0588235 | errAexp: 0.242116
Run_number: 5379 Nplus : 12 Nminus : 10 | Aexp: 0.0909091 | errAexp: 0.212318
Run_number: 5380 Nplus : 15 Nminus : 17 | Aexp: -0.0625 | errAexp: 0.176431
Run_number: 5385 Nplus : 3 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 5386 Nplus : 5 Nminus : 9 | Aexp: -0.285714 | errAexp: 0.25612
Run_number: 5387 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 5388 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 5406 Nplus : 3 Nminus : 14 | Aexp: -0.647059 | errAexp: 0.184919
Run_number: 5407 Nplus : 2 Nminus : 2 | Aexp: 0 | errAexp: 0.5
Run_number: 5408 Nplus : 9 Nminus : 6 | Aexp: 0.2 | errAexp: 0.252982
Run_number: 5409 Nplus : 9 Nminus : 12 | Aexp: -0.142857 | errAexp: 0.21598
Run_number: 5411 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 5412 Nplus : 9 Nminus : 8 | Aexp: 0.0588235 | errAexp: 0.242116
