cointime_bin_low_edge, Asymmetry, Error
0,100,0
0,0,0
0,0,0
0,0,0
0,0,0
0,100,0
0,-14.2857,37.4088
0,-8.57143,16.8409
0,-3.33333,12.9028
0,-3.37079,10.594
0,-5.19481,8.04735
0,8.3004,6.26525
0,14.7651,5.72935
0,7.65172,5.1216
0,-2.54042,4.80414
0,2.06612,4.54448
0,-2.94627,4.16125
0,1.08192,3.93118
0,-1.59902,3.5067
0,1.77515,3.43956
0,1.60692,3.51536
0,-0.518135,3.59903
0,-3.85289,2.95695
0,3.77227,0.704949
0,2.0801,0.719176
0,-2.5641,2.59677
0,2.41546,3.47423
0,3.90625,3.60569
0,-3.24254,3.59952
0,5.35211,3.74755
0,0.409277,3.69355
0,4.08719,3.68798
0,-12.844,3.87792
0,1.72414,3.78993
0,-3.97554,3.90722
0,-1.0274,4.13781
0,-9.5986,4.15827
0,-8.1448,4.74071
0,9.18919,5.17676
0,-4,5.54256
0,4.79452,5.84533
0,-10.4603,6.43298
0,-2.76243,7.4301
0,4.81928,7.75249
0,-9.33333,8.12933
0,-4.91803,9.04262
0,-2,9.998
0,-9.33333,11.4966
0,15.3846,13.7024
0,2.7027,16.4339
0,-29.4118,23.1808
