Run_number: 3510 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3721 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3722 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 3723 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3729 Nplus : 6 Nminus : 4 | Aexp: 0.2 | errAexp: 0.309839
Run_number: 3730 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 3731 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 3732 Nplus : 7 Nminus : 4 | Aexp: 0.272727 | errAexp: 0.290081
Run_number: 3733 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 3734 Nplus : 8 Nminus : 4 | Aexp: 0.333333 | errAexp: 0.272166
Run_number: 3737 Nplus : 6 Nminus : 1 | Aexp: 0.714286 | errAexp: 0.26452
Run_number: 3738 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3739 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 3740 Nplus : 9 Nminus : 7 | Aexp: 0.125 | errAexp: 0.248039
Run_number: 3741 Nplus : 3 Nminus : 7 | Aexp: -0.4 | errAexp: 0.289828
Run_number: 3742 Nplus : 0 Nminus : 3 | Aexp: -1 | errAexp: 0
Run_number: 3747 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3748 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3749 Nplus : 7 Nminus : 2 | Aexp: 0.555556 | errAexp: 0.27716
Run_number: 3750 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 3752 Nplus : 8 Nminus : 3 | Aexp: 0.454545 | errAexp: 0.268563
