Run_number: 5187 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5188 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5301 | Aexp: 0.75 | errAexp: 0.233854 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5302 | Aexp: -0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5303 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5315 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5316 | Aexp: 0.5 | errAexp: 0.306186 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5317 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5318 | Aexp: -0.714286 | errAexp: 0.187044 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5320 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5321 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5322 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5323 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5324 | Aexp: 0.846154 | errAexp: 0.147811 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5364 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5378 | Aexp: 0 | errAexp: 0.288675 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5379 | Aexp: 0.333333 | errAexp: 0.31427 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5380 | Aexp: 0.0909091 | errAexp: 0.300263 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5385 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5386 | Aexp: -0.666667 | errAexp: 0.30429 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5387 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5388 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5406 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5407 | Aexp: -nan | errAexp: -nan | pol_He3: -1 | pol_beam: 80.795
Run_number: 5408 | Aexp: 0 | errAexp: 0.267261 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5409 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5411 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5412 | Aexp: -0.6 | errAexp: 0.252982 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5414 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5416 | Aexp: 0.6 | errAexp: 0.357771 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5461 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5462 | Aexp: -0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5463 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5464 | Aexp: -0.0909091 | errAexp: 0.300263 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5465 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5466 | Aexp: 0.6 | errAexp: 0.357771 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5467 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5468 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5469 | Aexp: 0.333333 | errAexp: 0.31427 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5470 | Aexp: -0.428571 | errAexp: 0.241473 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5471 | Aexp: 0 | errAexp: 0.353553 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5472 | Aexp: 0.25 | errAexp: 0.242061 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5476 | Aexp: 0.571429 | errAexp: 0.219328 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5477 | Aexp: 0.375 | errAexp: 0.231756 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5478 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5479 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5480 | Aexp: -0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5481 | Aexp: 0.692308 | errAexp: 0.200137 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5482 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5483 | Aexp: 0 | errAexp: 0.223607 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5484 | Aexp: -0.125 | errAexp: 0.248039 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5485 | Aexp: 0 | errAexp: 0.353553 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5486 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5494 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5495 | Aexp: -0.272727 | errAexp: 0.290081 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5496 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5497 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5499 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5501 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5502 | Aexp: 0 | errAexp: 0.267261 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5503 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5504 | Aexp: 0.5 | errAexp: 0.306186 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5505 | Aexp: 0.222222 | errAexp: 0.229809 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5506 | Aexp: 0.428571 | errAexp: 0.241473 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5507 | Aexp: 0 | errAexp: 0.288675 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5508 | Aexp: 0 | errAexp: 0.235702 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5511 | Aexp: 0.538462 | errAexp: 0.233709 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5512 | Aexp: -0.130435 | errAexp: 0.206733 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5513 | Aexp: -0.125 | errAexp: 0.248039 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5514 | Aexp: 0.333333 | errAexp: 0.272166 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5515 | Aexp: -0.157895 | errAexp: 0.226538 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5517 | Aexp: 0 | errAexp: 0.408248 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5518 | Aexp: 0.555556 | errAexp: 0.27716 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5519 | Aexp: -0.0909091 | errAexp: 0.300263 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5523 | Aexp: 0 | errAexp: 0.408248 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5524 | Aexp: 0.25 | errAexp: 0.242061 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5525 | Aexp: 0.5 | errAexp: 0.25 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5526 | Aexp: -0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5527 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5529 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5531 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5532 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5533 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5537 | Aexp: 0 | errAexp: 0.316228 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5538 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5539 | Aexp: 0.0909091 | errAexp: 0.300263 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5541 | Aexp: 0 | errAexp: 0.316228 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5543 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5544 | Aexp: 0 | errAexp: 0.267261 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5545 | Aexp: -0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
