Run_number: 2236 | Aexp: 0.0567164 | errAexp: 0.0272739 | pol_He3: 41.2438 | pol_beam: 84.089
Run_number: 2237 | Aexp: 0.0219907 | errAexp: 0.0240504 | pol_He3: 38.4588 | pol_beam: 84.089
Run_number: 2238 | Aexp: 0.105263 | errAexp: 0.0299564 | pol_He3: 35.8529 | pol_beam: 84.089
Run_number: 2239 | Aexp: 0.0494012 | errAexp: 0.0273254 | pol_He3: 36.5771 | pol_beam: 84.089
Run_number: 2240 | Aexp: 0.0396476 | errAexp: 0.0331601 | pol_He3: 37.299 | pol_beam: 84.089
Run_number: 2241 | Aexp: 0.0320856 | errAexp: 0.0298387 | pol_He3: 38.7765 | pol_beam: 84.089
Run_number: 2242 | Aexp: 0.0556553 | errAexp: 0.0299146 | pol_He3: 40.2541 | pol_beam: 84.089
Run_number: 2243 | Aexp: 0 | errAexp: 0.0548821 | pol_He3: 41.4022 | pol_beam: 84.089
Run_number: 2244 | Aexp: 0.0411392 | errAexp: 0.0281034 | pol_He3: 41.8314 | pol_beam: 84.089
Run_number: 2245 | Aexp: 0.0280374 | errAexp: 0.0341659 | pol_He3: 42.2606 | pol_beam: 84.089
Run_number: 2246 | Aexp: 0.0733519 | errAexp: 0.0303893 | pol_He3: 42.5625 | pol_beam: 84.089
Run_number: 2247 | Aexp: 0.0326797 | errAexp: 0.080802 | pol_He3: 40.9805 | pol_beam: 84.089
Run_number: 2248 | Aexp: 0.0109489 | errAexp: 0.0427153 | pol_He3: 38.0032 | pol_beam: 84.089
Run_number: 2250 | Aexp: 0.0122087 | errAexp: 0.0333123 | pol_He3: 37.0493 | pol_beam: 84.089
Run_number: 2251 | Aexp: 0.047619 | errAexp: 0.154128 | pol_He3: 36.8307 | pol_beam: 84.089
Run_number: 2252 | Aexp: 0.0373027 | errAexp: 0.0267649 | pol_He3: 35.3799 | pol_beam: 84.089
Run_number: 2253 | Aexp: -0.00429923 | errAexp: 0.0293228 | pol_He3: 37.8216 | pol_beam: 84.089
Run_number: 2254 | Aexp: 0.039932 | errAexp: 0.029125 | pol_He3: 39.9546 | pol_beam: 84.089
Run_number: 2255 | Aexp: 0.0420168 | errAexp: 0.0276151 | pol_He3: 42.1467 | pol_beam: 84.089
Run_number: 2256 | Aexp: 0.0297937 | errAexp: 0.0276272 | pol_He3: 41.4725 | pol_beam: 84.089
Run_number: 2257 | Aexp: -0.0070922 | errAexp: 0.0297738 | pol_He3: 39.0447 | pol_beam: 84.089
Run_number: 2258 | Aexp: 0.0433547 | errAexp: 0.0266345 | pol_He3: 39.6908 | pol_beam: 84.089
Run_number: 2259 | Aexp: 0.0434783 | errAexp: 0.0275923 | pol_He3: 40.3067 | pol_beam: 84.089
Run_number: 2260 | Aexp: 0.00674157 | errAexp: 0.0474035 | pol_He3: 45.5495 | pol_beam: 84.089
Run_number: 2275 | Aexp: 0.0798479 | errAexp: 0.0614658 | pol_He3: 44.7388 | pol_beam: 84.089
Run_number: 2276 | Aexp: 0.00768049 | errAexp: 0.0391919 | pol_He3: 22.3324 | pol_beam: 84.089
Run_number: 2302 | Aexp: -0.304348 | errAexp: 0.0993113 | pol_He3: 26.2109 | pol_beam: 84.089
Run_number: 2303 | Aexp: 0.0512821 | errAexp: 0.0274256 | pol_He3: 28.8274 | pol_beam: 84.089
Run_number: 2304 | Aexp: 0.0569106 | errAexp: 0.0249673 | pol_He3: 33.3858 | pol_beam: 84.089
Run_number: 2305 | Aexp: 0.0695187 | errAexp: 0.0326244 | pol_He3: 25.9977 | pol_beam: 84.089
Run_number: 2306 | Aexp: -0.0553506 | errAexp: 0.0606525 | pol_He3: 23.9777 | pol_beam: 84.089
Run_number: 2307 | Aexp: 0.0571049 | errAexp: 0.0363826 | pol_He3: 27.7632 | pol_beam: 84.089
Run_number: 2309 | Aexp: 0.0371113 | errAexp: 0.0316485 | pol_He3: 29.8347 | pol_beam: 84.089
Run_number: 2310 | Aexp: 0.048 | errAexp: 0.0631727 | pol_He3: 27.975 | pol_beam: 84.089
Run_number: 2313 | Aexp: 0.0540806 | errAexp: 0.0313115 | pol_He3: 29.6555 | pol_beam: 84.089
Run_number: 2314 | Aexp: 0.0285152 | errAexp: 0.0313446 | pol_He3: 32.9888 | pol_beam: 84.089
Run_number: 2316 | Aexp: 0.0402341 | errAexp: 0.0270249 | pol_He3: 33.6704 | pol_beam: 84.089
Run_number: 2318 | Aexp: 0.00132979 | errAexp: 0.0257855 | pol_He3: 34.1595 | pol_beam: 84.089
Run_number: 2319 | Aexp: 0.0514198 | errAexp: 0.0276664 | pol_He3: 34.872 | pol_beam: 84.089
Run_number: 2320 | Aexp: -0.00436681 | errAexp: 0.0660812 | pol_He3: 35.2182 | pol_beam: 84.089
Run_number: 2321 | Aexp: 0.00883392 | errAexp: 0.0297208 | pol_He3: 35.7335 | pol_beam: 84.089
Run_number: 2322 | Aexp: -0.0207394 | errAexp: 0.0300221 | pol_He3: 36.2004 | pol_beam: 84.089
