Run_number: 5044 | Ap_exp: -1 | errAexp: 0
Run_number: 5147 | Ap_exp: -0.116279 | errAexp: 0.151464
Run_number: 5148 | Ap_exp: 0.0322581 | errAexp: 0.179512
Run_number: 5152 | Ap_exp: 0.106383 | errAexp: 0.145037
Run_number: 5153 | Ap_exp: 0.217391 | errAexp: 0.143916
Run_number: 5154 | Ap_exp: -0.259259 | errAexp: 0.13143
Run_number: 5155 | Ap_exp: 0.5 | errAexp: 0.306186
Run_number: 5156 | Ap_exp: -0.0769231 | errAexp: 0.195535
Run_number: 5164 | Ap_exp: -0.0769231 | errAexp: 0.195535
Run_number: 5165 | Ap_exp: -0.0857143 | errAexp: 0.168409
Run_number: 5167 | Ap_exp: -0.419355 | errAexp: 0.16305
Run_number: 5176 | Ap_exp: 0.047619 | errAexp: 0.154128
Run_number: 5183 | Ap_exp: 0 | errAexp: 0.147442
Run_number: 5185 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 5186 | Ap_exp: 0 | errAexp: 0.138675
Run_number: 5187 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 5188 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5301 | Ap_exp: 0.0434783 | errAexp: 0.208317
Run_number: 5302 | Ap_exp: -0.111111 | errAexp: 0.191258
Run_number: 5303 | Ap_exp: -0.0967742 | errAexp: 0.178762
Run_number: 5315 | Ap_exp: -0.0588235 | errAexp: 0.171202
Run_number: 5316 | Ap_exp: 0.027027 | errAexp: 0.164339
Run_number: 5317 | Ap_exp: 0.416667 | errAexp: 0.185561
Run_number: 5318 | Ap_exp: 0.166667 | errAexp: 0.164336
Run_number: 5320 | Ap_exp: -0.0322581 | errAexp: 0.179512
Run_number: 5321 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 5322 | Ap_exp: -0.1875 | errAexp: 0.173641
Run_number: 5323 | Ap_exp: 0 | errAexp: 0.176777
Run_number: 5324 | Ap_exp: 0.151515 | errAexp: 0.172068
Run_number: 5364 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 5378 | Ap_exp: 0.135135 | errAexp: 0.162891
Run_number: 5379 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 5380 | Ap_exp: -0.135135 | errAexp: 0.162891
Run_number: 5385 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 5386 | Ap_exp: -0.142857 | errAexp: 0.21598
Run_number: 5387 | Ap_exp: -0.0434783 | errAexp: 0.208317
Run_number: 5388 | Ap_exp: 0.037037 | errAexp: 0.192318
Run_number: 5406 | Ap_exp: -0.025641 | errAexp: 0.160076
Run_number: 5407 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 5408 | Ap_exp: -0.0232558 | errAexp: 0.152457
Run_number: 5409 | Ap_exp: -0.217391 | errAexp: 0.143916
Run_number: 5411 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 5412 | Ap_exp: 0.0857143 | errAexp: 0.168409
Run_number: 5414 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 5416 | Ap_exp: -0.212121 | errAexp: 0.170116
Run_number: 5461 | Ap_exp: -0.181818 | errAexp: 0.209647
Run_number: 5462 | Ap_exp: 0.192308 | errAexp: 0.136087
Run_number: 5463 | Ap_exp: 0.181818 | errAexp: 0.148243
Run_number: 5464 | Ap_exp: 0.230769 | errAexp: 0.155806
Run_number: 5465 | Ap_exp: -0.6 | errAexp: 0.357771
Run_number: 5466 | Ap_exp: -0.263158 | errAexp: 0.221329
Run_number: 5467 | Ap_exp: 0.473684 | errAexp: 0.202045
Run_number: 5468 | Ap_exp: 0.0857143 | errAexp: 0.119083
Run_number: 5469 | Ap_exp: -0.115385 | errAexp: 0.137749
Run_number: 5470 | Ap_exp: -0.127273 | errAexp: 0.133743
Run_number: 5471 | Ap_exp: -0.0714286 | errAexp: 0.1885
Run_number: 5472 | Ap_exp: -0.0958904 | errAexp: 0.116502
Run_number: 5476 | Ap_exp: 0 | errAexp: 0.129099
Run_number: 5477 | Ap_exp: -0.0204082 | errAexp: 0.142827
Run_number: 5478 | Ap_exp: 0 | errAexp: 0.204124
Run_number: 5479 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 5480 | Ap_exp: -0.0909091 | errAexp: 0.150131
Run_number: 5481 | Ap_exp: -0.125 | errAexp: 0.12402
Run_number: 5482 | Ap_exp: 0.6 | errAexp: 0.252982
