Run_number: 3709 | Aexp: 0.142857 | errAexp: 0.26452 | pol_He3: 47.5662 | pol_beam: 86.185
Run_number: 3710 | Aexp: 0.333333 | errAexp: 0.205738 | pol_He3: 47.9925 | pol_beam: 86.185
Run_number: 3711 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: 46.93 | pol_beam: 86.185
Run_number: 3712 | Aexp: -0.0909091 | errAexp: 0.300263 | pol_He3: 46.1285 | pol_beam: 86.185
Run_number: 3713 | Aexp: 0.0588235 | errAexp: 0.242116 | pol_He3: 46.3447 | pol_beam: 86.185
Run_number: 3714 | Aexp: 0.285714 | errAexp: 0.25612 | pol_He3: 46.5652 | pol_beam: 86.185
Run_number: 3715 | Aexp: -0.166667 | errAexp: 0.201269 | pol_He3: 46.5758 | pol_beam: 86.185
Run_number: 3716 | Aexp: 0 | errAexp: 0.223607 | pol_He3: 46.6057 | pol_beam: 86.185
Run_number: 3717 | Aexp: 0.263158 | errAexp: 0.221329 | pol_He3: 47.0402 | pol_beam: 86.185
Run_number: 3718 | Aexp: -0.428571 | errAexp: 0.341494 | pol_He3: 47.4475 | pol_beam: 86.185
Run_number: 3719 | Aexp: -0.285714 | errAexp: 0.25612 | pol_He3: 47.6794 | pol_beam: 86.185
Run_number: 3720 | Aexp: 1 | errAexp: 0 | pol_He3: 47.7616 | pol_beam: 86.185
Run_number: 3721 | Aexp: -nan | errAexp: -nan | pol_He3: 48.7257 | pol_beam: 86.185
Run_number: 3722 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 49.1575 | pol_beam: 86.185
Run_number: 3723 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 48.0171 | pol_beam: 86.185
Run_number: 3729 | Aexp: 0.25 | errAexp: 0.242061 | pol_He3: 48.8416 | pol_beam: 86.185
Run_number: 3730 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: 48.4902 | pol_beam: 86.185
Run_number: 3731 | Aexp: -0.666667 | errAexp: 0.30429 | pol_He3: 47.7544 | pol_beam: 86.185
Run_number: 3732 | Aexp: 0.428571 | errAexp: 0.197162 | pol_He3: 46.8871 | pol_beam: 86.185
Run_number: 3733 | Aexp: 0 | errAexp: 0.408248 | pol_He3: 46.9695 | pol_beam: 86.185
Run_number: 3734 | Aexp: 0.176471 | errAexp: 0.238729 | pol_He3: 47.1191 | pol_beam: 86.185
Run_number: 3737 | Aexp: 0.75 | errAexp: 0.233854 | pol_He3: 47.2098 | pol_beam: 86.185
Run_number: 3738 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: 47.1319 | pol_beam: 86.185
Run_number: 3739 | Aexp: 0.428571 | errAexp: 0.241473 | pol_He3: 47.0462 | pol_beam: 86.185
Run_number: 3740 | Aexp: 0 | errAexp: 0.213201 | pol_He3: 46.9831 | pol_beam: 86.185
Run_number: 3741 | Aexp: -0.285714 | errAexp: 0.25612 | pol_He3: 47.4401 | pol_beam: 86.185
Run_number: 3742 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 47.7852 | pol_beam: 86.185
Run_number: 3747 | Aexp: 1 | errAexp: 0 | pol_He3: 48.8864 | pol_beam: 86.185
Run_number: 3748 | Aexp: 0 | errAexp: 0.267261 | pol_He3: 48.7267 | pol_beam: 86.185
Run_number: 3749 | Aexp: 0.538462 | errAexp: 0.233709 | pol_He3: 48.5761 | pol_beam: 86.185
Run_number: 3750 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: 48.1402 | pol_beam: 86.185
Run_number: 3752 | Aexp: 0.333333 | errAexp: 0.243432 | pol_He3: 47.7551 | pol_beam: 86.185
Run_number: 3753 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 47.5589 | pol_beam: 86.185
Run_number: 3754 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 47.2143 | pol_beam: 86.185
Run_number: 3755 | Aexp: 0.285714 | errAexp: 0.25612 | pol_He3: 46.8799 | pol_beam: 86.185
Run_number: 3756 | Aexp: 0.5 | errAexp: 0.216506 | pol_He3: 46.5904 | pol_beam: 86.185
Run_number: 3758 | Aexp: 0.0588235 | errAexp: 0.242116 | pol_He3: 46.3304 | pol_beam: 86.185
Run_number: 3759 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: 46.3073 | pol_beam: 86.185
Run_number: 3761 | Aexp: 0.6 | errAexp: 0.357771 | pol_He3: 46.2944 | pol_beam: 86.185
Run_number: 3762 | Aexp: 0.130435 | errAexp: 0.206733 | pol_He3: 46.2666 | pol_beam: 86.185
Run_number: 3763 | Aexp: 0.142857 | errAexp: 0.21598 | pol_He3: 46.3377 | pol_beam: 86.185
Run_number: 3764 | Aexp: 0.5 | errAexp: 0.25 | pol_He3: 46.3864 | pol_beam: 86.185
Run_number: 3765 | Aexp: -0.047619 | errAexp: 0.21797 | pol_He3: 46.5059 | pol_beam: 86.185
Run_number: 3766 | Aexp: -0.217391 | errAexp: 0.203528 | pol_He3: 46.6104 | pol_beam: 86.185
Run_number: 3767 | Aexp: 0.0769231 | errAexp: 0.276528 | pol_He3: 51.3713 | pol_beam: 86.185
Run_number: 3782 | Aexp: -nan | errAexp: -nan | pol_He3: 51.3663 | pol_beam: 86.185
Run_number: 3783 | Aexp: -nan | errAexp: -nan | pol_He3: 51.3616 | pol_beam: 86.185
Run_number: 3784 | Aexp: -0.5 | errAexp: 0.306186 | pol_He3: 51.2707 | pol_beam: 86.185
Run_number: 3786 | Aexp: -1 | errAexp: 0 | pol_He3: 50.9642 | pol_beam: 86.185
Run_number: 3787 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: 50.5556 | pol_beam: 86.185
Run_number: 3788 | Aexp: 0 | errAexp: 0.316228 | pol_He3: 49.6214 | pol_beam: 86.185
Run_number: 3789 | Aexp: 0 | errAexp: 0.316228 | pol_He3: 48.7165 | pol_beam: 86.185
Run_number: 3790 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 48.4678 | pol_beam: 86.185
Run_number: 3791 | Aexp: 0.0909091 | errAexp: 0.300263 | pol_He3: 48.7021 | pol_beam: 86.185
Run_number: 3792 | Aexp: -1 | errAexp: 0 | pol_He3: 48.8768 | pol_beam: 86.185
Run_number: 3795 | Aexp: 1 | errAexp: 0 | pol_He3: 39.7362 | pol_beam: 86.185
Run_number: 3796 | Aexp: -1 | errAexp: 0 | pol_He3: 51.2806 | pol_beam: 86.185
Run_number: 3810 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: 50.9483 | pol_beam: 86.185
Run_number: 3811 | Aexp: 0.666667 | errAexp: 0.30429 | pol_He3: 50.5699 | pol_beam: 86.185
Run_number: 3812 | Aexp: 0.555556 | errAexp: 0.27716 | pol_He3: 50.2859 | pol_beam: 86.185
Run_number: 3813 | Aexp: -1 | errAexp: 0 | pol_He3: 51.0175 | pol_beam: 86.185
Run_number: 3815 | Aexp: 1 | errAexp: 0 | pol_He3: 50.7433 | pol_beam: 86.185
Run_number: 3822 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 50.877 | pol_beam: 86.185
Run_number: 3823 | Aexp: -0.25 | errAexp: 0.342327 | pol_He3: 50.9497 | pol_beam: 86.185
Run_number: 3824 | Aexp: -0.0909091 | errAexp: 0.300263 | pol_He3: 51.0101 | pol_beam: 86.185
Run_number: 3825 | Aexp: 0.25 | errAexp: 0.242061 | pol_He3: 50.4779 | pol_beam: 86.185
Run_number: 3826 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 49.9114 | pol_beam: 86.185
Run_number: 3827 | Aexp: 0.230769 | errAexp: 0.269864 | pol_He3: 49.3706 | pol_beam: 86.185
Run_number: 3828 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: 48.8404 | pol_beam: 86.185
Run_number: 3829 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 48.8269 | pol_beam: 86.185
Run_number: 3830 | Aexp: -0.2 | errAexp: 0.252982 | pol_He3: 48.8118 | pol_beam: 86.185
Run_number: 3832 | Aexp: 0.230769 | errAexp: 0.269864 | pol_He3: 48.7983 | pol_beam: 86.185
Run_number: 3833 | Aexp: 0.272727 | errAexp: 0.290081 | pol_He3: 48.8074 | pol_beam: 86.185
