Run_number: 3756 | Ap_exp: -0.183673 | errAexp: 0.140427
Run_number: 3758 | Ap_exp: -0.0357143 | errAexp: 0.133545
Run_number: 3759 | Ap_exp: 0.283019 | errAexp: 0.131744
Run_number: 3761 | Ap_exp: -0.304348 | errAexp: 0.198623
Run_number: 3762 | Ap_exp: 0.142857 | errAexp: 0.118297
Run_number: 3763 | Ap_exp: 0.060241 | errAexp: 0.109565
Run_number: 3764 | Ap_exp: 0.230769 | errAexp: 0.134932
Run_number: 3765 | Ap_exp: 0.012987 | errAexp: 0.113951
Run_number: 3766 | Ap_exp: 0.142857 | errAexp: 0.124696
Run_number: 3767 | Ap_exp: 0.038961 | errAexp: 0.113874
Run_number: 3782 | Ap_exp: -0.333333 | errAexp: 0.243432
Run_number: 3783 | Ap_exp: -0.75 | errAexp: 0.233854
Run_number: 3784 | Ap_exp: -0.207547 | errAexp: 0.13437
Run_number: 3786 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 3787 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3788 | Ap_exp: -0.2 | errAexp: 0.132116
Run_number: 3789 | Ap_exp: -0.037037 | errAexp: 0.135989
Run_number: 3790 | Ap_exp: 0.5 | errAexp: 0.25
Run_number: 3791 | Ap_exp: 0.111111 | errAexp: 0.191258
Run_number: 3792 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 3795 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 3796 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 3810 | Ap_exp: -0.142857 | errAexp: 0.141392
Run_number: 3811 | Ap_exp: 0.166667 | errAexp: 0.142319
Run_number: 3812 | Ap_exp: -0.0434783 | errAexp: 0.208317
Run_number: 3813 | Ap_exp: -0.333333 | errAexp: 0.140546
Run_number: 3815 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 3822 | Ap_exp: -0.0909091 | errAexp: 0.212318
Run_number: 3823 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 3824 | Ap_exp: -0.0666667 | errAexp: 0.128812
Run_number: 3825 | Ap_exp: 0.09375 | errAexp: 0.124449
