Run_number: 5453 | Ap_exp: -nan | errAexp: -nan
Run_number: 5454 | Ap_exp: -1 | errAexp: 0
Run_number: 5455 | Ap_exp: -nan | errAexp: -nan
Run_number: 5456 | Ap_exp: -nan | errAexp: -nan
Run_number: 5457 | Ap_exp: -nan | errAexp: -nan
Run_number: 5458 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5459 | Ap_exp: -nan | errAexp: -nan
Run_number: 5460 | Ap_exp: 1 | errAexp: 0
Run_number: 5461 | Ap_exp: -0.0714286 | errAexp: 0.1885
Run_number: 5462 | Ap_exp: 0.246377 | errAexp: 0.116675
Run_number: 5463 | Ap_exp: 0.0943396 | errAexp: 0.136748
Run_number: 5464 | Ap_exp: 0 | errAexp: 0.144338
Run_number: 5465 | Ap_exp: -0.384615 | errAexp: 0.256015
Run_number: 5466 | Ap_exp: -0.2 | errAexp: 0.178885
Run_number: 5467 | Ap_exp: 0.241379 | errAexp: 0.180204
Run_number: 5468 | Ap_exp: -0.0465116 | errAexp: 0.107716
Run_number: 5469 | Ap_exp: 0.0864198 | errAexp: 0.110695
Run_number: 5470 | Ap_exp: -0.107692 | errAexp: 0.123313
Run_number: 5471 | Ap_exp: -0.125 | errAexp: 0.143205
Run_number: 5472 | Ap_exp: -0.0549451 | errAexp: 0.10467
Run_number: 5476 | Ap_exp: -0.0243902 | errAexp: 0.110399
Run_number: 5477 | Ap_exp: -0.0285714 | errAexp: 0.119474
Run_number: 5478 | Ap_exp: 0.04 | errAexp: 0.19984
Run_number: 5479 | Ap_exp: -0.25 | errAexp: 0.242061
Run_number: 5480 | Ap_exp: 0.0140845 | errAexp: 0.118666
Run_number: 5481 | Ap_exp: 0 | errAexp: 0.117851
Run_number: 5482 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 5483 | Ap_exp: -0.0526316 | errAexp: 0.13227
Run_number: 5484 | Ap_exp: 0.0136986 | errAexp: 0.11703
Run_number: 5485 | Ap_exp: -0.219512 | errAexp: 0.152365
Run_number: 5486 | Ap_exp: -0.116279 | errAexp: 0.151464
Run_number: 5494 | Ap_exp: -0.0181818 | errAexp: 0.134818
Run_number: 5495 | Ap_exp: 0 | errAexp: 0.114708
