Run_number: 2970 | Aphy: -0.000367588 | errAphy: 0.000183267
Run_number: 2971 | Aphy: 0.000724573 | errAphy: 0
Run_number: 2973 | Aphy: -6.58732e-05 | errAphy: 0.000214185
Run_number: 2974 | Aphy: 7.04479e-05 | errAphy: 0.000159023
Run_number: 2976 | Aphy: -0.000716873 | errAphy: 0
Run_number: 2981 | Aphy: 0.000715534 | errAphy: 0
Run_number: 2983 | Aphy: -1.03254e-06 | errAphy: 8.97763e-05
Run_number: 2984 | Aphy: 2.08251e-05 | errAphy: 0.000125532
Run_number: 2985 | Aphy: 0.000119342 | errAphy: 0.000118697
Run_number: 2986 | Aphy: -1.03928e-06 | errAphy: 0.000361449
Run_number: 2988 | Aphy: -0.000722108 | errAphy: 0
Run_number: 2989 | Aphy: 7.23651e-05 | errAphy: 0.000131024
Run_number: 2990 | Aphy: -0.000177121 | errAphy: 0.000241147
Run_number: 2995 | Aphy: 3.10581e-05 | errAphy: 0.000106263
Run_number: 2996 | Aphy: -0.00129971 | errAphy: 0
Run_number: 2997 | Aphy: -1.71439e-06 | errAphy: 0.000233866
Run_number: 2998 | Aphy: 0.000136355 | errAphy: 0.000175383
Run_number: 2999 | Aphy: 0.000206737 | errAphy: 0.000192936
Run_number: 3000 | Aphy: -8.66204e-05 | errAphy: 0.000305676
Run_number: 3001 | Aphy: -0.000123897 | errAphy: 0.00036467
Run_number: 3003 | Aphy: -0.000220765 | errAphy: 0.000339567
Run_number: 3004 | Aphy: -0.000173248 | errAphy: 0.000158727
Run_number: 3005 | Aphy: -1.30857e-06 | errAphy: 0.00016618
Run_number: 3006 | Aphy: -0.000122974 | errAphy: 0.000318814
Run_number: 3007 | Aphy: -3.90668e-05 | errAphy: 0.000122741
Run_number: 3008 | Aphy: 0.000228372 | errAphy: 0.000180875
Run_number: 3009 | Aphy: -5.12859e-05 | errAphy: 0.000194003
Run_number: 3011 | Aphy: 3.7821e-05 | errAphy: 0.000169253
Run_number: 3013 | Aphy: -0.000122003 | errAphy: 0.000206577
Run_number: 3014 | Aphy: 0.000215554 | errAphy: 0.000154002
Run_number: 3016 | Aphy: -0.000206221 | errAphy: 0.000183935
Run_number: 3017 | Aphy: -0.000158443 | errAphy: 0.000162799
