x,A,Aerr,Nplus,Nminus
-1.05,0.03369212152,0.003988041885,32460,30344
-1.045,0.03362053863,0.003988527839,32450,30339
-1.04,0.03364343061,0.003988937726,32444,30332
-1.035,0.03361906886,0.003989385869,32436,30326
-1.03,0.03369031682,0.003989821312,32431,30317
-1.025,0.03360219339,0.003990278325,32421,30313
-1.02,0.0335799477,0.003990853891,32411,30305
-1.015,0.03361719772,0.003991167097,32407,30299
-1.01,0.03351572096,0.003991785511,32394,30293
-1.005,0.03347694272,0.003992332076,32384,30286
-1,0.03344929942,0.003992590614,32379,30283
-0.995,0.03351955307,0.003992963563,32375,30275
-0.99,0.03352811572,0.003993472388,32367,30267
-0.985,0.03343979559,0.0039939306,32357,30263
-0.98,0.03346484993,0.003994469492,32349,30254
-0.975,0.03357034433,0.003995029731,32343,30242
-0.97,0.03342017357,0.003995624479,32329,30238
-0.965,0.03341113278,0.003996040852,32322,30232
-0.96,0.03339995203,0.003996329844,32317,30228
-0.955,0.03347461016,0.003996958961,32309,30216
-0.95,0.03343572023,0.003997507648,32299,30209
