Run_number: 3694 | Ap_exp: -0.0909091 | errAexp: 0.212318
Run_number: 3695 | Ap_exp: 0 | errAexp: 0.235702
Run_number: 3696 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 3697 | Ap_exp: 0.0526316 | errAexp: 0.161997
Run_number: 3698 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 3701 | Ap_exp: -0.419355 | errAexp: 0.16305
Run_number: 3702 | Ap_exp: 0.0344828 | errAexp: 0.131228
Run_number: 3703 | Ap_exp: 0.0666667 | errAexp: 0.128812
Run_number: 3704 | Ap_exp: -0.0909091 | errAexp: 0.100088
Run_number: 3705 | Ap_exp: -0.0526316 | errAexp: 0.161997
Run_number: 3706 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 3708 | Ap_exp: -0.111111 | errAexp: 0.234243
Run_number: 3709 | Ap_exp: 0.0869565 | errAexp: 0.146883
Run_number: 3710 | Ap_exp: 0.0454545 | errAexp: 0.1506
Run_number: 3711 | Ap_exp: 0.2 | errAexp: 0.154919
Run_number: 3712 | Ap_exp: 0.0566038 | errAexp: 0.13714
Run_number: 3713 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 3714 | Ap_exp: 0.0689655 | errAexp: 0.130994
Run_number: 3715 | Ap_exp: 0.105882 | errAexp: 0.107856
Run_number: 3716 | Ap_exp: 0.0526316 | errAexp: 0.161997
Run_number: 3717 | Ap_exp: 0.0746269 | errAexp: 0.121829
Run_number: 3718 | Ap_exp: -0.222222 | errAexp: 0.229809
Run_number: 3719 | Ap_exp: -0.178571 | errAexp: 0.131483
Run_number: 3720 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 3721 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 3722 | Ap_exp: -0.157895 | errAexp: 0.160187
Run_number: 3723 | Ap_exp: -0.263158 | errAexp: 0.221329
Run_number: 3729 | Ap_exp: 0 | errAexp: 0.171499
Run_number: 3730 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 3731 | Ap_exp: 0.272727 | errAexp: 0.145041
Run_number: 3732 | Ap_exp: -0.127273 | errAexp: 0.133743
Run_number: 3733 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 3734 | Ap_exp: 0.0188679 | errAexp: 0.137336
Run_number: 3737 | Ap_exp: 0.25 | errAexp: 0.242061
Run_number: 3738 | Ap_exp: -0.0344828 | errAexp: 0.185585
Run_number: 3739 | Ap_exp: -0.0819672 | errAexp: 0.127606
Run_number: 3740 | Ap_exp: 0.0169492 | errAexp: 0.13017
Run_number: 3741 | Ap_exp: -0.103448 | errAexp: 0.130602
Run_number: 3742 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 3747 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 3748 | Ap_exp: -0.0666667 | errAexp: 0.128812
Run_number: 3749 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 3750 | Ap_exp: 0.142857 | errAexp: 0.167297
Run_number: 3752 | Ap_exp: 0.25 | errAexp: 0.153093
Run_number: 3753 | Ap_exp: 0 | errAexp: 0.25
Run_number: 3754 | Ap_exp: -0.111111 | errAexp: 0.234243
Run_number: 3755 | Ap_exp: -0.037037 | errAexp: 0.135989
Run_number: 3756 | Ap_exp: -0.230769 | errAexp: 0.155806
Run_number: 3758 | Ap_exp: 0.08 | errAexp: 0.140968
Run_number: 3759 | Ap_exp: 0.217391 | errAexp: 0.143916
Run_number: 3761 | Ap_exp: -0.333333 | errAexp: 0.205738
Run_number: 3762 | Ap_exp: -0.0566038 | errAexp: 0.13714
Run_number: 3763 | Ap_exp: 0.0526316 | errAexp: 0.114549
Run_number: 3764 | Ap_exp: 0.0869565 | errAexp: 0.146883
Run_number: 3765 | Ap_exp: 0.015873 | errAexp: 0.125972
Run_number: 3766 | Ap_exp: -0.0588235 | errAexp: 0.139786
Run_number: 3767 | Ap_exp: 0.118644 | errAexp: 0.129269
Run_number: 3782 | Ap_exp: -0.5 | errAexp: 0.25
Run_number: 3783 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 3784 | Ap_exp: -0.111111 | errAexp: 0.148148
Run_number: 3786 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 3787 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 3788 | Ap_exp: -0.142857 | errAexp: 0.152721
Run_number: 3789 | Ap_exp: 0.0588235 | errAexp: 0.139786
Run_number: 3790 | Ap_exp: 0.6 | errAexp: 0.252982
Run_number: 3791 | Ap_exp: 0 | errAexp: 0.223607
Run_number: 3792 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 3795 | Ap_exp: -1 | errAexp: 0
Run_number: 3796 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 3810 | Ap_exp: -0.190476 | errAexp: 0.151478
Run_number: 3811 | Ap_exp: 0.2 | errAexp: 0.165616
Run_number: 3812 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 3813 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 3815 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 3822 | Ap_exp: -0.125 | errAexp: 0.248039
Run_number: 3823 | Ap_exp: 0.277778 | errAexp: 0.160108
Run_number: 3824 | Ap_exp: -0.16 | errAexp: 0.139599
Run_number: 3825 | Ap_exp: 0.116279 | errAexp: 0.151464
Run_number: 3826 | Ap_exp: 0.0163934 | errAexp: 0.12802
Run_number: 3827 | Ap_exp: 0.0909091 | errAexp: 0.150131
Run_number: 3828 | Ap_exp: 0.116279 | errAexp: 0.151464
Run_number: 3829 | Ap_exp: -0.310345 | errAexp: 0.176526
Run_number: 3830 | Ap_exp: -0.142857 | errAexp: 0.141392
Run_number: 3832 | Ap_exp: 0.178571 | errAexp: 0.131483
Run_number: 3833 | Ap_exp: 0.0810811 | errAexp: 0.163858
Run_number: 3835 | Ap_exp: 0.282051 | errAexp: 0.153627
