Q2_GeV2,mu_n_GE_over_GM,sigma
0.001,0.0004957535259592554,9.447585823397999e-06
0.0612964824120603,0.027592443832497614,0.003198697947069894
0.1215929648241206,0.050874391085530775,0.004290576679020591
0.1818894472361809,0.07132739501049908,0.004364600532245543
0.2421859296482412,0.08957769203464538,0.004341197963492469
0.3024824120603015,0.1060987764303426,0.0043793455183824
0.3627788944723618,0.12124164811025938,0.004492715578620262
0.4230753768844221,0.13526622286959425,0.004671428940118606
0.4833718592964824,0.14836719908183738,0.004904444640901792
0.5436683417085427,0.1606928108034238,0.005183218574663772
0.603964824120603,0.1723578855807234,0.005501741209664972
0.6642613065326634,0.18345287967867346,0.005855981198767161
0.7245577889447236,0.19405017756772094,0.006243346472247021
0.7848542713567839,0.20420854258914806,0.006662262881223281
0.8451507537688442,0.21397630986744773,0.0071118639295889114
0.9054472361809045,0.2233937130984867,0.007591767796304196
0.9657437185929648,0.23249460626733662,0.008101919404130655
1.026040201005025,0.24130775628736156,0.008642479900031414
1.0863366834170853,0.24985782682420352,0.009213750212445119
1.1466331658291455,0.258166136669817,0.009816118803174243
1.206929648241206,0.26625125128561944,0.010450026390015249
1.2672261306532662,0.27412944930976973,0.011115942425858288
1.3275226130653266,0.2818150942270218,0.011814349618152255
1.3878190954773868,0.2893209332977622,0.01254573387434525
1.448115577889447,0.296658340108485,0.013310577857869621
1.5084120603015074,0.3038375129965513,0.014109356910633433
1.5687085427135676,0.31086763862213085,0.014942536501081268
1.629005025125628,0.31775702777506826,0.015810570637501055
1.6893015075376883,0.32451322888497436,0.016713900879053726
1.7495979899497487,0.3311431234906499,0.017652955707741443
1.809894472361809,0.3376530070089705,0.018628150111985098
1.8701909547738693,0.344048657445011,0.019639885290137507
1.9304874371859295,0.35033539414827825,0.020688548419645434
1.9907839195979897,0.35651812830378843,0.021774512461350794
2.05108040201005,0.3626014065218022,0.02289813598317625
2.1113768844221106,0.36858944863447574,0.024059762996302452
2.171673366834171,0.37448618060532896,0.025259722802016896
2.231969849246231,0.3802952632961789,0.026498329850106386
2.292266331658291,0.3860201177068756,0.027775883610893292
2.352562814070352,0.39166394719890113,0.029092668463382515
2.412859296482412,0.39722975712932934,0.030448953601870506
2.4731557788944722,0.4027203722526826,0.03184499296300706
2.5334522613065324,0.4081384521917455,0.03328102517484152
2.5937487437185927,0.4134865052318784,0.03475727352890882
2.6540452261306533,0.41876690065490724,0.036273945975964825
2.7143417085427135,0.4239818797967052,0.03783123514558696
2.7746381909547737,0.42913356598593144,0.03942931838952249
2.834934673366834,0.4342239734990488,0.041068357848392176
2.895231155778894,0.4392550156479829,0.042748500541141404
2.9555276381909548,0.44422851210093006,0.04446987847646042
3.015824120603015,0.4491461955233942,0.04623260878527005
3.076120603015075,0.4540097176151517,0.048036793873278576
3.1364170854271354,0.4588206546090917,0.0498825215925548
3.196713567839196,0.46358051228958413,0.05176986543102268
3.2570100502512562,0.46829073058086984,0.05369888471876561
3.3173065326633164,0.4729526877498493,0.0556696248500244
3.3776030150753766,0.47756770426234,0.05768211751978044
3.437899497487437,0.48213704632726784,0.05973638097383031
3.4981959798994975,0.48666192915933143,0.061832420271286104
3.5584924623115577,0.49114351998715344,0.06397022755845863
3.618788944723618,0.49558294083096993,0.06614978235311515
3.679085427135678,0.49998127107126317,0.06837105183813956
3.7393819095477387,0.5043395498273979,0.07063399116365379
3.799678391959799,0.5086587781633588,0.07293854375670246
3.859974874371859,0.5129399211358356,0.07528464163763315
3.9202713567839194,0.5171839096983826,0.07767220574234864
3.9805678391959796,0.5213916424739675,0.08010114624963997
4.040864321608041,0.5255639874070049,0.08257136291285008
4.1011608040201,0.5297017833048387,0.08508274539514292
4.161457286432161,0.5338058412777744,0.08763517360770914
4.221753768844222,0.5378769460857487,0.09022851805024593
4.2820502512562815,0.5419158573991064,0.09286264015310867
4.342346733668342,0.5459233109801486,0.095537392620543
4.402643216080402,0.5499000197915899,0.09825261977445186
4.4629396984924625,0.553846675037449,0.10100815789817345
4.523236180904523,0.5577639471414314,0.10380383557977803
4.583532663316583,0.5616524866674519,0.1066394740544261
4.643829145728644,0.56551292518645,0.10951488754534061
4.704125628140704,0.5693458760934076,0.11242988360299472
4.764422110552764,0.5731519353780672,0.11538426344212205
4.824718592964825,0.5769316823525896,0.11837782227619424
4.885015075376884,0.5806856803391303,0.12141034964902343
4.945311557788945,0.5844144773200524,0.12448162976318351
5.005608040201006,0.5881186065533045,0.1275914418049496
5.0659045226130655,0.5917985871552236,0.13073956026548386
5.126201005025126,0.5954549246529642,0.1339257552580214
5.186497487437186,0.5990881115084894,0.13714979283082393
5.2467939698492465,0.602698627615902,0.14041143527567362
5.307090452261307,0.6062869407738436,0.1437104414317259
5.367386934673367,0.6098535071345247,0.14704656698453483
5.427683417085428,0.6133987716307646,0.15041956476008475
5.487979899497487,0.6169231683824392,0.15382918501368276
5.548276381909548,0.6204271210835286,0.15727517571357652
5.608572864321609,0.6239110433709578,0.1607572828191814
5.668869346733668,0.6273753391762464,0.16427525055380127
5.729165829145729,0.6308204030610433,0.16782882167176685
5.789462311557789,0.6342466205373872,0.17141773771989208
5.849758793969849,0.6376543683735629,0.1750417392931775
5.91005527638191,0.6410440148864752,0.17870056628473002
5.97035175879397,0.6444159202211687,0.18239395812982662
6.0306482412060305,0.6477704366181644,0.1861216540440669
6.090944723618091,0.6511079086694611,0.18988339325563797
6.151241206030151,0.6544286735636266,0.19367891523163075
6.2115376884422115,0.6577330613206064,0.19750795989839487
6.271834170854271,0.6610213950168432,0.20137026785595524
