width,A,Aerr,Nplus,Nminus
0.05,0.0654916,0.0131172,3083,2704
0.1,0.0485522,0.00934212,5993,5438
0.15,0.0444879,0.00768902,8816,8065
0.2,0.042361,0.00673212,11479,10546
0.25,0.0398144,0.0061123,13894,12830
0.3,0.0422435,0.00566925,16185,14873
0.35,0.0445653,0.00533101,18341,16776
0.4,0.0435787,0.00506272,20319,18622
0.45,0.0409183,0.00485087,22081,20345
0.5,0.0383161,0.00467176,23752,21999
0.55,0.0351947,0.00451414,25369,23644
0.6,0.0332,0.00438338,26857,25131
0.65,0.0312386,0.00425961,28390,26670
0.7,0.0293961,0.00414559,29923,28214
0.75,0.0278786,0.00404089,31450,29744
0.8,0.0271127,0.0039403,33053,31308
