width,A,Aerr,Nplus,Nminus
0.05,0.0645441,0.00759249,9195,8080
0.1,0.0615031,0.00541443,18036,15946
0.15,0.0586326,0.00444149,26740,23778
0.2,0.0580855,0.00387213,35166,31305
0.25,0.0590711,0.00349176,43280,38452
0.3,0.0585677,0.00322037,50861,45233
0.35,0.0570225,0.00301827,57826,51587
0.4,0.056609,0.00285991,64385,57486
0.45,0.0564629,0.00273395,70446,62916
0.5,0.0559914,0.00263204,75977,67920
0.55,0.0567207,0.00254763,81144,72433
0.6,0.0572335,0.00247842,85776,76489
0.65,0.0575067,0.00241864,90089,80291
0.7,0.0575009,0.00236876,93923,83709
0.75,0.0570776,0.00232561,97406,86887
0.8,0.0562966,0.00228885,100495,89783
