cut_value,A,Aerr,Nplus,Nminus
120,-0.00427808,0.00300105,55278,55753
119.4,-0.00663185,0.00273739,66281,67166
118.8,-0.00910725,0.00255224,76053,77451
118.2,-0.00986733,0.00242919,83888,85560
117.6,-0.0106976,0.00235235,89381,91314
117,-0.0102968,0.00230608,93042,94978
116.4,-0.0106058,0.00227776,95340,97384
115.8,-0.0105635,0.00226053,96803,98870
115.2,-0.0108657,0.00224741,97906,100057
114.6,-0.0111132,0.00223675,98816,101037
114,-0.011203,0.0022268,99692,101951
