width,A,Aerr,Nplus,Nminus
0.05,-0.00707531,0.00341685,42522,43128
0.1,-0.00578448,0.00242207,84735,85721
0.15,-0.0067158,0.00198404,126161,127867
0.2,-0.00673608,0.00173023,165886,168136
0.25,-0.00754735,0.00155928,204083,207187
0.3,-0.00787161,0.00143601,240545,244362
0.35,-0.00810397,0.00134237,275208,279705
0.4,-0.00819531,0.00126872,308059,313150
0.45,-0.00811297,0.00120901,339270,344820
0.5,-0.0078389,0.00115972,368822,374650
0.55,-0.00774923,0.00111749,397260,403465
0.6,-0.00743969,0.00108153,424257,430617
0.65,-0.0074748,0.00105027,449868,456644
0.7,-0.00719814,0.00102298,474323,481201
0.75,-0.00702093,0.000998833,497626,504663
0.8,-0.006949,0.000977785,519319,526587
