width,A,Aerr,Nplus,Nminus
1,0.0496864,0.004005,32640,29550
2,0.0566504,0.00283679,65441,58424
3,0.0564234,0.0024346,88832,79343
4,0.0562966,0.00228885,100495,89783
5,0.0557274,0.00224273,104621,93576
6,0.0553711,0.00222414,106345,95186
7,0.0553867,0.00221073,107641,96343
