cut_value,A,Aerr,Nplus,Nminus
-0.8,-0.011203,0.0022268,99692,101951
-0.72,-0.012605,0.00230602,92825,95195
-0.64,-0.0144918,0.00238976,86264,88801
-0.56,-0.014229,0.00248002,80121,82434
-0.48,-0.015723,0.00258137,73838,76197
-0.4,-0.0155437,0.00269475,67768,69908
-0.32,-0.0148329,0.00282212,61835,63697
-0.24,-0.0142726,0.00297157,55804,57420
-0.16,-0.0135824,0.00314838,49748,51118
-0.08,-0.0145206,0.00335989,43639,44925
0,-0.0107417,0.00361913,37759,38579
