cut_value,A,Aerr,Nplus,Nminus
0.025,0.0273613,0.00353655,41040,38854
0.075,0.0273613,0.00353655,41040,38854
0.125,0.028438,0.00371489,37231,35172
0.175,0.0304993,0.00409398,30713,28895
0.225,0.0318558,0.00461066,24245,22748
0.275,0.0355938,0.00527614,18577,17300
0.325,0.0342163,0.00612159,13783,12871
0.375,0.0311318,0.00719374,9953,9352
0.425,0.0318152,0.00858734,6989,6558
0.475,0.0235206,0.0103605,4765,4546
0.525,0.0237332,0.0126597,3192,3044
