width,A,Aerr,Nplus,Nminus
0.05,0.0559401,0.0078847,8466,7569
0.1,0.0587614,0.00556479,17036,15145
0.15,0.0536084,0.00456507,25206,22641
0.2,0.0559527,0.00397055,33385,29847
0.25,0.060145,0.00357841,41246,36566
0.3,0.0606383,0.00328869,48853,43267
0.35,0.060958,0.00307471,55904,49480
0.4,0.0591747,0.00290676,62459,55480
0.45,0.0592578,0.00277106,68731,61041
0.5,0.059133,0.00266177,74483,66166
0.55,0.0579351,0.00256943,79854,71108
0.6,0.0576635,0.00249316,84795,75549
0.65,0.0572842,0.00242866,89331,79651
0.7,0.0565091,0.00237348,93472,83473
0.75,0.0558311,0.00232841,97071,86805
0.8,0.0562966,0.00228885,100495,89783
