cut_value,A,Aerr,Nplus,Nminus
-0.8,0.0496095,0.00198972,132234,119734
-0.72,0.0504505,0.00203655,126313,114180
-0.64,0.0514703,0.00208911,120141,108379
-0.56,0.0520075,0.00214842,113651,102414
-0.48,0.0532497,0.0022163,106908,96098
-0.4,0.0536384,0.00229359,99857,89690
-0.32,0.0545446,0.00238369,92521,82950
-0.24,0.0551,0.00249056,84791,75935
-0.16,0.0556488,0.00261399,77008,68889
-0.08,0.057435,0.00276293,69032,61533
0,0.0571088,0.00294325,60816,54245
