cut_value,A,Aerr,Nplus,Nminus
0.8,-0.011203,0.0022268,99692,101951
0.72,-0.0116157,0.00225303,97343,99631
0.64,-0.0118147,0.00228223,94848,97116
0.56,-0.0111985,0.0023174,92050,94135
0.48,-0.0119502,0.00235633,88964,91116
0.4,-0.0122552,0.00240188,85595,87719
0.32,-0.0129177,0.00245669,81762,83902
0.24,-0.0124402,0.002523,77559,79513
0.16,-0.011945,0.0026035,72874,74636
0.08,-0.0117575,0.00270218,67662,69272
0,-0.011484,0.0028248,61933,63372
