cut_value,A,Aerr,Nplus,Nminus
-0.8,-0.0130885,0.00271219,67071,68850
-0.72,-0.0132035,0.00277931,63863,65572
-0.64,-0.0139168,0.00285754,60369,62073
-0.56,-0.0142641,0.00294708,56736,58378
-0.48,-0.0162715,0.00304886,52900,54650
-0.4,-0.0165314,0.0031687,48961,50607
-0.32,-0.0177041,0.00330836,44859,46476
-0.24,-0.0188072,0.00347713,40563,42118
-0.16,-0.0193833,0.00367842,36223,37655
-0.08,-0.017933,0.00392953,31790,32951
0,-0.0180591,0.00423622,27350,28356
