cut_value,A,Aerr,Nplus,Nminus
0.025,-0.00224611,0.00895644,6219,6247
0.075,-0.00384911,0.0124082,3235,3260
0.125,0.0027933,0.0167131,1795,1785
0.175,0.00559701,0.0215964,1078,1066
0.225,0.00728863,0.0269967,691,681
0.275,0.00334448,0.0333888,450,447
0.325,-0.0253165,0.0397651,308,324
0.375,0.012931,0.04642,235,229
0.425,0.00911854,0.0551295,166,163
0.475,0,0.0640184,122,122
0.525,-0.011236,0.0749484,88,90
