cut_value,A,Aerr,Nplus,Nminus
0.8,0.0496095,0.00198972,132234,119734
0.72,0.0492609,0.00201493,128908,116804
0.64,0.0492474,0.00204634,124979,113247
0.56,0.0482858,0.00208409,120393,109302
0.48,0.0474521,0.00213129,115038,104615
0.4,0.0470508,0.00218849,109065,99263
0.32,0.0463539,0.00225751,102437,93361
0.24,0.0454196,0.00233997,95267,86989
0.16,0.0452452,0.00244001,87602,80018
0.08,0.0451115,0.00255822,79684,72805
0,0.0433068,0.0027001,71418,65489
