cut_value,A,Aerr,Nplus,Nminus
0.025,0.051646,0.00192959,140848,127014
0.075,0.0523402,0.00200749,130205,117253
0.125,0.0534023,0.00234289,95680,85979
0.175,0.0553392,0.00308469,55285,49487
0.225,0.0528335,0.00424845,29084,26165
0.275,0.0519203,0.00595533,14790,13330
0.325,0.0504546,0.00832012,7568,6841
0.375,0.0444895,0.0116172,3862,3533
0.425,0.0656024,0.0157596,2136,1873
0.475,0.0601669,0.0209185,1207,1070
0.525,0.0619335,0.0274297,703,621
