width,A,Aerr,Nplus,Nminus
1,-0.0122498,0.0172838,1653,1694
2,-0.00914406,0.012243,3305,3366
3,-0.00837589,0.0101063,4854,4936
4,-0.0115692,0.00881109,6365,6514
5,-0.00890059,0.00791677,7906,8048
6,-0.0137059,0.00725981,9355,9615
7,-0.0135965,0.00674275,10846,11145
