width,A,Aerr,Nplus,Nminus
1,0.0494583,0.0216767,1114,1009
2,0.0520893,0.0168946,1838,1656
3,0.0521212,0.0155488,2170,1955
4,0.0504587,0.0151253,2290,2070
5,0.0505732,0.0149731,2337,2112
6,0.0506892,0.0148913,2363,2135
7,0.0493036,0.0148511,2373,2150
