cut_value,A,Aerr,Nplus,Nminus
0.8,-0.0130885,0.00271219,67071,68850
0.72,-0.0132526,0.00273994,65708,67473
0.64,-0.0140072,0.00277242,64127,65949
0.56,-0.0142215,0.00281133,62350,64149
0.48,-0.0140829,0.00286031,60242,61963
0.4,-0.0133087,0.00292151,57791,59350
0.32,-0.0131851,0.00299668,54935,56403
0.24,-0.0143465,0.00309127,51562,53063
0.16,-0.0125144,0.00320778,47976,49192
0.08,-0.0112425,0.00335278,43974,44974
0,-0.0096366,0.00353063,39721,40494
