cut_value,A,Aerr,Nplus,Nminus
-2,0.0209183,0.00931451,5881,5640
-1.8,0.0212691,0.00935349,5834,5591
-1.6,0.0213517,0.00939095,5788,5546
-1.4,0.0200624,0.00944089,5720,5495
-1.2,0.0191909,0.00949026,5656,5443
-1,0.0191152,0.00953896,5598,5388
-0.8,0.0194596,0.00960159,5527,5316
-0.6,0.0173562,0.00968448,5422,5237
-0.4,0.0186216,0.00979563,5306,5112
-0.2,0.0173216,0.0099474,5139,4964
0,0.0161639,0.0101453,4935,4778
