cut_value,A,Aerr,Nplus,Nminus
120,-0.0196883,0.00332141,44414,46198
120.6,-0.0193153,0.00297606,55342,57522
121.2,-0.0168962,0.00274116,65400,67648
121.8,-0.0157775,0.00257711,74078,76453
122.4,-0.0151561,0.00246686,80900,83390
123,-0.0132099,0.00239166,86242,88551
123.6,-0.0133291,0.00233704,90309,92749
124.2,-0.0125926,0.0022981,93467,95851
124.8,-0.0121155,0.00226849,95971,98325
125.4,-0.0114705,0.00224578,97987,100261
126,-0.011203,0.0022268,99692,101951
