width,A,Aerr,Nplus,Nminus
1,0.045207,0.00673021,11514,10518
2,0.0423654,0.00515886,19548,17959
3,0.0383161,0.00467176,23752,21999
4,0.0366465,0.00447441,25855,24027
5,0.0360024,0.00437442,27035,25156
6,0.0346932,0.00431043,27811,25946
7,0.0345692,0.00425957,28476,26573
