cut_value,A,Aerr,Nplus,Nminus
1,0.0550692,0.00262676,76224,68267
1.1,0.0556677,0.00231961,97796,87482
1.2,0.0530599,0.00209545,119576,107526
1.3,0.051646,0.00192959,140848,127014
1.4,0.0508722,0.00180303,161208,145600
1.5,0.0493639,0.00170176,180733,163729
1.6,0.0473876,0.0016182,199542,181486
1.7,0.0460148,0.00154674,218149,198956
1.8,0.0448249,0.00148463,236540,216244
1.9,0.0439513,0.00142945,254959,233491
2,0.0425465,0.00137953,273412,251096
