dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
global_fit_ye,ratio,Ye,0.092257,0.03994611882217636,,0.004013548430224648,0.004013548430224648
global_fit_ye,ratio,Ye,0.093325,0.04035674333828979,,0.004029785797725352,0.004029785797725352
global_fit_ye,ratio,Ye,0.094406,0.04077111255773327,,0.0040456090260426215,0.0040456090260426215
global_fit_ye,ratio,Ye,0.095499,0.041189246077601466,,0.004061017895030053,0.004061017895030053
global_fit_ye,ratio,Ye,0.096605,0.04161117376111407,,0.0040760122000089,0.0040760122000089
global_fit_ye,ratio,Ye,0.097724,0.04203691677608658,,0.004090589873456847,0.004090589873456847
global_fit_ye,ratio,Ye,0.098855,0.04246650027553786,,0.004104753369631742,0.004104753369631742
global_fit_ye,ratio,Ye,0.1,0.042899958037412575,,0.004118500878504775,0.004118500878504775
global_fit_ye,ratio,Ye,0.10116,0.04333730473689099,,0.004131835889436558,0.004131835889436558
global_fit_ye,ratio,Ye,0.10233,0.04377856061658196,,0.004144757369401808,0.004144757369401808
global_fit_ye,ratio,Ye,0.10351,0.04422375462523135,,0.004157267207943769,0.004157267207943769
global_fit_ye,ratio,Ye,0.10471,0.0446729156635005,,0.004169367298114498,0.004169367298114498
global_fit_ye,ratio,Ye,0.10593,0.04512606792866964,,0.0041810601453287485,0.0041810601453287485
global_fit_ye,ratio,Ye,0.10715,0.045583220359509485,,0.004192347802191597,0.004192347802191597
global_fit_ye,ratio,Ye,0.10839,0.04604442665351605,,0.004203231621566083,0.004203231621566083
global_fit_ye,ratio,Ye,0.10965,0.046509679465002174,,0.004213717177679638,0.004213717177679638
global_fit_ye,ratio,Ye,0.11092,0.04697901792942382,,0.004223804527219208,0.004223804527219208
global_fit_ye,ratio,Ye,0.1122,0.04745246446658309,,0.004233499137671106,0.004233499137671106
global_fit_ye,ratio,Ye,0.1135,0.047930052373399985,,0.004242805615335157,0.004242805615335157
global_fit_ye,ratio,Ye,0.11482,0.0484117890428742,,0.004251725044131297,0.004251725044131297
global_fit_ye,ratio,Ye,0.11614,0.048897706857788346,,0.0042602639601213394,0.0042602639601213394
global_fit_ye,ratio,Ye,0.11749,0.04938782303374557,,0.004268426544866701,0.004268426544866701
global_fit_ye,ratio,Ye,0.11885,0.049882174928361195,,0.0042762168800267045,0.0042762168800267045
global_fit_ye,ratio,Ye,0.12023,0.05038076364215022,,0.004283640612602128,0.004283640612602128
global_fit_ye,ratio,Ye,0.12162,0.05088364161595407,,0.004290702451789551,0.004290702451789551
